time,altitude,distance,hr,speed
2021-11-23 17:11:32+00:00,100.80000305175781,0.8899999856948853,114.0,0.8859999775886536
2021-11-23 17:11:33+00:00,100.5999984741211,2.880000114440918,116.0,1.996999979019165
2021-11-23 17:11:34+00:00,100.5999984741211,5.28000020980835,118.0,2.3980000019073486
2021-11-23 17:11:35+00:00,100.4000015258789,7.849999904632568,120.0,2.565999984741211
2021-11-23 17:11:36+00:00,100.4000015258789,10.600000381469727,122.0,2.753000020980835
2021-11-23 17:11:37+00:00,100.4000015258789,12.989999771118164,124.0,2.3889999389648438
2021-11-23 17:11:38+00:00,100.19999694824219,15.289999961853027,125.0,2.305000066757202
2021-11-23 17:11:39+00:00,100.19999694824219,17.600000381469727,127.0,2.305000066757202
2021-11-23 17:11:40+00:00,100.19999694824219,19.950000762939453,128.0,2.3510000705718994
2021-11-23 17:11:41+00:00,100.19999694824219,22.34000015258789,129.0,2.3889999389648438
2021-11-23 17:11:42+00:00,100.4000015258789,24.799999237060547,129.0,2.4630000591278076
2021-11-23 17:11:43+00:00,100.4000015258789,27.31999969482422,129.0,2.5190000534057617
2021-11-23 17:11:44+00:00,100.5999984741211,29.940000534057617,129.0,2.61299991607666
2021-11-23 17:11:45+00:00,100.5999984741211,32.619998931884766,130.0,2.687000036239624
2021-11-23 17:11:46+00:00,100.5999984741211,35.40999984741211,131.0,2.7899999618530273
2021-11-23 17:11:47+00:00,100.80000305175781,38.2400016784668,131.0,2.8269999027252197
2021-11-23 17:11:48+00:00,100.80000305175781,41.11000061035156,132.0,2.874000072479248
2021-11-23 17:11:49+00:00,100.80000305175781,43.9900016784668,133.0,2.882999897003174
2021-11-23 17:11:50+00:00,100.5999984741211,46.900001525878906,134.0,2.9019999504089355
2021-11-23 17:11:51+00:00,100.5999984741211,49.810001373291016,135.0,2.9110000133514404
2021-11-23 17:11:52+00:00,100.5999984741211,52.75,136.0,2.938999891281128
2021-11-23 17:11:53+00:00,100.5999984741211,55.70000076293945,137.0,2.947999954223633
2021-11-23 17:11:54+00:00,100.5999984741211,58.630001068115234,138.0,2.938999891281128
2021-11-23 17:11:55+00:00,100.5999984741211,61.56999969482422,140.0,2.938999891281128
2021-11-23 17:11:56+00:00,100.5999984741211,64.5199966430664,140.0,2.938999891281128
2021-11-23 17:11:57+00:00,100.5999984741211,67.44999694824219,141.0,2.938999891281128
2021-11-23 17:11:58+00:00,100.5999984741211,70.41000366210938,142.0,2.9579999446868896
2021-11-23 17:11:59+00:00,100.4000015258789,73.37000274658203,143.0,2.9579999446868896
2021-11-23 17:12:00+00:00,100.4000015258789,76.33000183105469,144.0,2.9670000076293945
2021-11-23 17:12:01+00:00,100.19999694824219,79.30000305175781,144.0,2.9670000076293945
2021-11-23 17:12:02+00:00,100.19999694824219,82.29000091552734,145.0,2.9860000610351562
2021-11-23 17:12:03+00:00,100.19999694824219,85.2699966430664,146.0,2.9860000610351562
2021-11-23 17:12:04+00:00,100.19999694824219,88.26000213623047,146.0,2.9860000610351562
2021-11-23 17:12:05+00:00,100.19999694824219,91.23999786376953,147.0,2.9760000705718994
2021-11-23 17:12:06+00:00,100.19999694824219,94.19000244140625,147.0,2.9579999446868896
2021-11-23 17:12:07+00:00,100.4000015258789,97.13999938964844,147.0,2.947999954223633
2021-11-23 17:12:08+00:00,100.4000015258789,100.08000183105469,147.0,2.938999891281128
2021-11-23 17:12:09+00:00,100.4000015258789,103.0199966430664,147.0,2.938999891281128
2021-11-23 17:12:10+00:00,100.4000015258789,105.94999694824219,147.0,2.930000066757202
2021-11-23 17:12:11+00:00,100.5999984741211,108.87999725341797,147.0,2.930000066757202
2021-11-23 17:12:12+00:00,100.5999984741211,111.81999969482422,147.0,2.938999891281128
2021-11-23 17:12:13+00:00,100.5999984741211,114.76000213623047,147.0,2.938999891281128
2021-11-23 17:12:14+00:00,100.5999984741211,117.7300033569336,148.0,2.9670000076293945
2021-11-23 17:12:15+00:00,100.5999984741211,120.70999908447266,148.0,2.9860000610351562
2021-11-23 17:12:16+00:00,100.5999984741211,123.70999908447266,148.0,2.994999885559082
2021-11-23 17:12:17+00:00,100.5999984741211,126.72000122070312,148.0,3.0139999389648438
2021-11-23 17:12:18+00:00,100.80000305175781,129.74000549316406,149.0,3.0230000019073486
2021-11-23 17:12:19+00:00,100.80000305175781,132.75999450683594,149.0,3.0139999389648438
2021-11-23 17:12:20+00:00,100.80000305175781,135.77999877929688,150.0,3.0230000019073486
2021-11-23 17:12:21+00:00,100.80000305175781,138.8000030517578,150.0,3.0230000019073486
2021-11-23 17:12:22+00:00,100.80000305175781,141.83999633789062,150.0,3.0320000648498535
2021-11-23 17:12:23+00:00,101.0,144.8800048828125,150.0,3.0420000553131104
2021-11-23 17:12:24+00:00,100.80000305175781,147.9199981689453,150.0,3.0420000553131104
2021-11-23 17:12:25+00:00,100.80000305175781,150.97000122070312,151.0,3.0510001182556152
2021-11-23 17:12:26+00:00,100.5999984741211,154.02999877929688,151.0,3.059999942779541
2021-11-23 17:12:27+00:00,100.5999984741211,157.08999633789062,151.0,3.059999942779541
2021-11-23 17:12:28+00:00,100.5999984741211,160.14999389648438,151.0,3.059999942779541
2021-11-23 17:12:29+00:00,100.5999984741211,163.2100067138672,152.0,3.059999942779541
2021-11-23 17:12:30+00:00,100.5999984741211,166.27000427246094,151.0,3.059999942779541
2021-11-23 17:12:31+00:00,100.4000015258789,169.3300018310547,152.0,3.059999942779541
2021-11-23 17:12:32+00:00,100.4000015258789,172.38999938964844,152.0,3.059999942779541
