time,latitude,longitude,altitude,distance,hr,speed
2021-11-23 16:58:55+00:00,52.13181062601507,21.071515576913953,114.0,0.3400000035762787,112.0,0.0
2021-11-23 16:58:56+00:00,52.1318107098341,21.071529826149344,114.0,1.2699999809265137,111.0,0.0
2021-11-23 16:59:02+00:00,52.13174784556031,21.071696374565363,114.0,1.2699999809265137,122.0,1.7079999446868896
2021-11-23 16:59:03+00:00,52.13172521442175,21.07170509174466,114.0,3.859999895095825,124.0,2.5380001068115234
2021-11-23 16:59:04+00:00,52.13169939815998,21.07172160409391,114.0,6.860000133514404,125.0,2.677999973297119
2021-11-23 16:59:05+00:00,52.13166763074696,21.071733171120286,114.0,10.470000267028809,127.0,2.687000036239624
2021-11-23 16:59:06+00:00,52.13163988664746,21.071735098958015,114.0,13.449999809265137,128.0,2.7149999141693115
2021-11-23 16:59:07+00:00,52.1316156629473,21.071744486689568,114.19999694824219,16.229999542236328,129.0,2.809000015258789
2021-11-23 16:59:08+00:00,52.13158733211458,21.07175974175334,114.4000015258789,19.530000686645508,130.0,2.809000015258789
2021-11-23 16:59:09+00:00,52.131563778966665,21.071777511388063,114.5999984741211,22.399999618530273,131.0,2.7899999618530273
2021-11-23 16:59:10+00:00,52.131536453962326,21.071802489459515,114.5999984741211,25.850000381469727,132.0,2.7709999084472656
2021-11-23 16:59:11+00:00,52.13150921277702,21.07182906009257,114.5999984741211,29.3700008392334,133.0,2.7709999084472656
2021-11-23 16:59:12+00:00,52.13148322887719,21.071851523593068,114.5999984741211,32.630001068115234,134.0,2.7809998989105225
2021-11-23 16:59:13+00:00,52.131457664072514,21.071876334026456,114.4000015258789,35.91999816894531,135.0,2.818000078201294
2021-11-23 16:59:14+00:00,52.13143050670624,21.07190055772662,114.4000015258789,39.36000061035156,136.0,2.8459999561309814
2021-11-23 16:59:15+00:00,52.13140670210123,21.071917405351996,114.4000015258789,42.25,136.0,2.882999897003174
2021-11-23 16:59:16+00:00,52.13138272985816,21.071933498606086,114.19999694824219,45.130001068115234,138.0,2.9110000133514404
2021-11-23 16:59:17+00:00,52.13135724887252,21.071948166936636,114.19999694824219,48.130001068115234,138.0,2.938999891281128
2021-11-23 16:59:18+00:00,52.13133436627686,21.07196794822812,114.19999694824219,51.0099983215332,139.0,2.9579999446868896
2021-11-23 16:59:19+00:00,52.13131047785282,21.071990579366684,114.19999694824219,54.06999969482422,140.0,2.9670000076293945
2021-11-23 16:59:20+00:00,52.13128164410591,21.072012959048152,114.19999694824219,57.630001068115234,141.0,2.9860000610351562
2021-11-23 16:59:21+00:00,52.131251469254494,21.07203433290124,114.19999694824219,61.279998779296875,141.0,2.9860000610351562
2021-11-23 16:59:22+00:00,52.13122825138271,21.07205092906952,114.19999694824219,64.11000061035156,141.0,3.003999948501587
2021-11-23 16:59:23+00:00,52.13120578788221,21.072075655683875,114.19999694824219,67.12000274658203,142.0,3.003999948501587
2021-11-23 16:59:24+00:00,52.13118089362979,21.07210423797369,114.19999694824219,70.47000122070312,142.0,3.003999948501587
2021-11-23 16:59:25+00:00,52.13115843012929,21.07213265262544,114.19999694824219,73.55999755859375,143.0,3.003999948501587
2021-11-23 16:59:26+00:00,52.13112800382078,21.072163749486208,114.19999694824219,77.55000305175781,143.0,3.003999948501587
2021-11-23 16:59:27+00:00,52.13110411539674,21.072189984843135,114.4000015258789,80.76000213623047,143.0,3.0139999389648438
2021-11-23 16:59:28+00:00,52.131077125668526,21.07221756130457,114.4000015258789,84.30000305175781,144.0,3.0230000019073486
2021-11-23 16:59:29+00:00,52.13105005212128,21.072238264605403,114.4000015258789,87.62999725341797,144.0,3.0420000553131104
2021-11-23 16:59:30+00:00,52.13102440349758,21.07226248830557,114.4000015258789,90.93000030517578,144.0,3.059999942779541
2021-11-23 16:59:31+00:00,52.13099188171327,21.072289813309908,114.4000015258789,95.01000213623047,144.0,3.0789999961853027
2021-11-23 16:59:32+00:00,52.13096237741411,21.07231345027685,114.4000015258789,98.66000366210938,145.0,3.0980000495910645
2021-11-23 16:59:33+00:00,52.13093086145818,21.07233725488186,114.5999984741211,102.5199966430664,145.0,3.115999937057495
2021-11-23 16:59:34+00:00,52.130894316360354,21.07235644944012,114.5999984741211,106.7699966430664,145.0,3.125999927520752
2021-11-23 16:59:35+00:00,52.1308555919677,21.072377990931273,114.5999984741211,111.29000091552734,145.0,3.134999990463257
2021-11-23 16:59:36+00:00,52.13083874434233,21.072381176054478,114.80000305175781,113.0199966430664,146.0,3.1440000534057617
2021-11-23 16:59:37+00:00,52.13081586174667,21.072389390319586,115.0,115.54000091552734,146.0,3.1540000438690186
2021-11-23 16:59:38+00:00,52.130793649703264,21.072400119155645,115.19999694824219,118.12000274658203,146.0,3.1070001125335693
2021-11-23 16:59:39+00:00,52.130768755450845,21.072421493008733,115.4000015258789,121.25,147.0,3.0510001182556152
2021-11-23 16:59:40+00:00,52.13073925115168,21.072443118318915,115.4000015258789,124.8499984741211,147.0,3.0510001182556152
2021-11-23 16:59:41+00:00,52.13071125559509,21.072466420009732,115.4000015258789,128.35000610351562,146.0,3.0980000495910645
2021-11-23 16:59:42+00:00,52.130678314715624,21.072495756670833,115.4000015258789,132.52999877929688,147.0,3.0980000495910645
2021-11-23 16:59:43+00:00,52.13064822368324,21.072523668408394,115.4000015258789,136.36000061035156,148.0,3.0880000591278076
2021-11-23 16:59:44+00:00,52.13062500581145,21.072548059746623,115.5999984741211,139.39999389648438,147.0,3.0880000591278076
